IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
143.47.238.44,443,443,TRUE,FRA,Europe,Frankfurt,324,4.79
130.162.170.75,443,443,TRUE,FRA,Europe,Frankfurt,267,4.74
129.159.249.186,443,443,TRUE,FRA,Europe,Frankfurt,194,4.74
158.101.212.37,443,443,TRUE,FRA,Europe,Frankfurt,402,4.72
143.47.191.82,443,443,TRUE,FRA,Europe,Frankfurt,276,4.64
140.238.58.181,2053,443,TRUE,NRT,Asia Pacific,Tokyo,73,4.55
89.168.94.10,443,443,TRUE,FRA,Europe,Frankfurt,275,4.54
141.147.23.0,443,443,TRUE,FRA,Europe,Frankfurt,259,4.53
141.147.47.32,8443,443,TRUE,FRA,Europe,Frankfurt,319,4.43
132.145.152.194,443,443,TRUE,IAD,North America,Ashburn,240,4.39
132.145.54.84,8443,443,TRUE,LHR,Europe,London,244,4.39
130.162.170.28,443,443,TRUE,FRA,Europe,Frankfurt,347,4.34
144.21.48.38,443,443,TRUE,FRA,Europe,Frankfurt,341,4.32
150.230.22.145,443,443,TRUE,FRA,Europe,Frankfurt,266,4.3
144.21.51.110,443,443,TRUE,LHR,Europe,London,250,4.26
158.101.98.60,2095,443,TRUE,IAD,North America,Ashburn,252,4.16
158.178.154.174,443,443,TRUE,FRA,Europe,Frankfurt,262,4.14
155.248.196.123,443,443,TRUE,YVR,North America,Vancouver,220,4.11
146.235.219.98,443,443,TRUE,SJC,North America,San Jose,218,4.05
141.148.241.163,443,443,TRUE,FRA,Europe,Frankfurt,274,4.01
158.101.205.249,443,443,TRUE,FRA,Europe,Frankfurt,439,3.99
131.186.25.200,2053,443,TRUE,ICN,Asia Pacific,Seoul,108,3.98
84.235.169.234,443,443,TRUE,AMS,Europe,Amsterdam,197,3.97
152.70.148.46,2053,443,TRUE,LAX,North America,Los Angeles,210,3.95
152.70.185.152,443,443,TRUE,FRA,Europe,Frankfurt,183,3.92
143.47.253.188,443,443,TRUE,FRA,Europe,Frankfurt,276,3.89
89.168.118.76,443,443,TRUE,FRA,Europe,Frankfurt,320,3.87
143.47.243.144,2053,443,TRUE,LHR,Europe,London,243,3.87
141.147.71.120,443,443,TRUE,FRA,Europe,Frankfurt,190,3.86
129.153.213.8,443,443,TRUE,LAX,North America,Los Angeles,212,3.82
