IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.90.5.4,443,443,TRUE,FRA,Europe,Frankfurt,280,5.6
34.116.188.200,443,443,TRUE,FRA,Europe,Frankfurt,206,5.59
34.32.217.226,443,443,TRUE,FRA,Europe,Frankfurt,315,5.59
34.154.45.253,443,443,TRUE,FRA,Europe,Frankfurt,273,5.57
35.234.164.154,443,443,TRUE,FRA,Europe,Frankfurt,261,5.57
34.90.5.4,443,443,TRUE,FRA,Europe,Frankfurt,269,5.56
34.34.2.31,443,443,TRUE,FRA,Europe,Frankfurt,276,5.55
35.204.246.46,443,443,TRUE,FRA,Europe,Frankfurt,260,5.54
34.154.164.20,443,443,TRUE,FRA,Europe,Frankfurt,270,5.54
34.116.176.79,443,443,TRUE,FRA,Europe,Frankfurt,266,5.54
34.32.235.34,443,443,TRUE,FRA,Europe,Frankfurt,259,5.54
34.154.238.25,443,443,TRUE,FRA,Europe,Frankfurt,193,5.53
34.159.152.9,443,443,TRUE,FRA,Europe,Frankfurt,299,5.53
34.154.128.78,443,443,TRUE,FRA,Europe,Frankfurt,257,5.53
34.116.143.230,443,443,TRUE,FRA,Europe,Frankfurt,276,5.53
34.116.241.42,443,443,TRUE,FRA,Europe,Frankfurt,268,5.53
34.32.196.236,443,443,TRUE,FRA,Europe,Frankfurt,259,5.53
34.116.188.200,443,443,TRUE,FRA,Europe,Frankfurt,359,5.52
35.204.246.189,443,443,TRUE,FRA,Europe,Frankfurt,259,5.52
34.118.113.247,443,443,TRUE,FRA,Europe,Frankfurt,314,5.51
34.90.71.109,443,443,TRUE,FRA,Europe,Frankfurt,258,5.51
34.116.233.181,443,443,TRUE,FRA,Europe,Frankfurt,213,5.49
34.116.159.95,443,443,TRUE,FRA,Europe,Frankfurt,214,5.49
34.118.31.189,443,443,TRUE,FRA,Europe,Frankfurt,322,5.48
34.90.66.199,443,443,TRUE,FRA,Europe,Frankfurt,269,5.47
34.118.24.29,443,443,TRUE,FRA,Europe,Frankfurt,233,5.46
34.90.82.23,443,443,TRUE,FRA,Europe,Frankfurt,260,5.46
34.32.207.31,443,443,TRUE,FRA,Europe,Frankfurt,272,5.45
34.118.78.190,443,443,TRUE,FRA,Europe,Frankfurt,296,5.44
34.118.62.238,443,443,TRUE,FRA,Europe,Frankfurt,322,5.44
34.154.215.170,443,443,TRUE,FRA,Europe,Frankfurt,273,5.44
34.118.17.76,443,443,TRUE,FRA,Europe,Frankfurt,225,5.44
34.90.182.217,443,443,TRUE,FRA,Europe,Frankfurt,280,5.43
34.154.104.11,443,443,TRUE,FRA,Europe,Frankfurt,275,5.43
34.118.17.76,443,443,TRUE,FRA,Europe,Frankfurt,326,5.43
34.118.0.250,443,443,TRUE,FRA,Europe,Frankfurt,290,5.42
34.32.250.210,443,443,TRUE,FRA,Europe,Frankfurt,193,5.42
34.116.155.2,443,443,TRUE,FRA,Europe,Frankfurt,371,5.41
34.159.183.90,443,443,TRUE,FRA,Europe,Frankfurt,352,5.41
34.116.134.144,443,443,TRUE,FRA,Europe,Frankfurt,268,5.41
34.107.101.123,443,443,TRUE,FRA,Europe,Frankfurt,261,5.41
34.116.201.193,443,443,TRUE,FRA,Europe,Frankfurt,268,5.4
34.118.113.247,443,443,TRUE,FRA,Europe,Frankfurt,266,5.4
34.107.117.187,443,443,TRUE,FRA,Europe,Frankfurt,283,5.4
34.116.143.235,443,443,TRUE,FRA,Europe,Frankfurt,289,5.4
34.116.238.23,443,443,TRUE,FRA,Europe,Frankfurt,335,5.39
34.118.84.230,443,443,TRUE,FRA,Europe,Frankfurt,300,5.39
34.118.7.104,443,443,TRUE,FRA,Europe,Frankfurt,295,5.39
34.91.177.185,443,443,TRUE,FRA,Europe,Frankfurt,258,5.37
34.118.5.126,443,443,TRUE,FRA,Europe,Frankfurt,258,5.34
34.116.143.230,443,443,TRUE,FRA,Europe,Frankfurt,328,5.34
34.116.217.39,443,443,TRUE,FRA,Europe,Frankfurt,270,5.34
34.154.251.71,443,443,TRUE,FRA,Europe,Frankfurt,323,5.34
34.107.21.139,443,443,TRUE,FRA,Europe,Frankfurt,261,5.34
34.118.62.238,443,443,TRUE,FRA,Europe,Frankfurt,305,5.33
34.118.64.206,443,443,TRUE,FRA,Europe,Frankfurt,268,5.33
34.65.63.32,443,443,TRUE,FRA,Europe,Frankfurt,197,5.32
34.116.172.143,443,443,TRUE,FRA,Europe,Frankfurt,272,5.31
34.154.60.68,443,443,TRUE,FRA,Europe,Frankfurt,188,5.3
34.65.150.145,443,443,TRUE,FRA,Europe,Frankfurt,318,5.29
34.154.252.224,443,443,TRUE,FRA,Europe,Frankfurt,237,5.29
34.154.96.86,443,443,TRUE,FRA,Europe,Frankfurt,215,5.26
34.118.84.230,443,443,TRUE,FRA,Europe,Frankfurt,341,5.25
34.116.193.229,443,443,TRUE,FRA,Europe,Frankfurt,268,5.25
35.204.134.21,443,443,TRUE,FRA,Europe,Frankfurt,255,5.25
34.154.167.156,443,443,TRUE,FRA,Europe,Frankfurt,261,5.25
34.118.90.144,443,443,TRUE,FRA,Europe,Frankfurt,349,5.24
34.90.140.37,443,443,TRUE,FRA,Europe,Frankfurt,333,5.18
34.147.114.136,443,443,TRUE,FRA,Europe,Frankfurt,280,5.17
34.159.59.132,443,443,TRUE,FRA,Europe,Frankfurt,272,5.17
34.90.244.226,443,443,TRUE,FRA,Europe,Frankfurt,205,5.14
34.118.0.250,443,443,TRUE,FRA,Europe,Frankfurt,330,5.14
34.118.107.144,443,443,TRUE,FRA,Europe,Frankfurt,372,5.13
34.116.189.98,443,443,TRUE,FRA,Europe,Frankfurt,268,5.12
34.116.196.218,443,443,TRUE,FRA,Europe,Frankfurt,201,5.09
34.118.58.9,443,443,TRUE,FRA,Europe,Frankfurt,344,5.09
34.91.67.64,443,443,TRUE,FRA,Europe,Frankfurt,267,5.08
34.89.237.7,443,443,TRUE,FRA,Europe,Frankfurt,251,5.08
34.116.193.101,443,443,TRUE,FRA,Europe,Frankfurt,201,5.07
34.118.67.168,443,443,TRUE,FRA,Europe,Frankfurt,395,5.06
34.116.172.36,443,443,TRUE,FRA,Europe,Frankfurt,206,5.05
34.154.101.110,443,443,TRUE,FRA,Europe,Frankfurt,203,5.03
34.116.246.225,443,443,TRUE,FRA,Europe,Frankfurt,268,5.03
34.116.243.138,443,443,TRUE,FRA,Europe,Frankfurt,269,5.02
34.89.171.21,443,443,TRUE,FRA,Europe,Frankfurt,194,5.01
34.116.143.235,443,443,TRUE,FRA,Europe,Frankfurt,210,5
34.32.236.208,443,443,TRUE,FRA,Europe,Frankfurt,263,5
34.90.210.245,443,443,TRUE,FRA,Europe,Frankfurt,206,4.99
34.116.214.235,443,443,TRUE,FRA,Europe,Frankfurt,291,4.97
34.65.92.52,443,443,TRUE,FRA,Europe,Frankfurt,252,4.95
34.116.129.250,443,443,TRUE,FRA,Europe,Frankfurt,211,4.95
34.147.39.146,443,443,TRUE,FRA,Europe,Frankfurt,268,4.94
34.116.186.213,443,443,TRUE,FRA,Europe,Frankfurt,268,4.93
34.91.206.90,443,443,TRUE,FRA,Europe,Frankfurt,264,4.92
34.116.159.183,443,443,TRUE,FRA,Europe,Frankfurt,283,4.92
34.154.29.165,443,443,TRUE,FRA,Europe,Frankfurt,198,4.91
34.154.249.246,443,443,TRUE,FRA,Europe,Frankfurt,205,4.91
34.116.204.164,443,443,TRUE,FRA,Europe,Frankfurt,212,4.9
34.89.152.161,443,443,TRUE,FRA,Europe,Frankfurt,253,4.9
34.116.238.23,443,443,TRUE,FRA,Europe,Frankfurt,282,4.9
34.154.206.213,443,443,TRUE,FRA,Europe,Frankfurt,262,4.9
34.118.123.8,443,443,TRUE,FRA,Europe,Frankfurt,332,4.9
34.118.31.189,443,443,TRUE,FRA,Europe,Frankfurt,336,4.88
34.32.172.190,443,443,TRUE,FRA,Europe,Frankfurt,259,4.88
34.116.172.58,443,443,TRUE,FRA,Europe,Frankfurt,302,4.88
34.116.172.58,443,443,TRUE,FRA,Europe,Frankfurt,274,4.88
34.116.189.98,443,443,TRUE,FRA,Europe,Frankfurt,285,4.87
34.154.141.194,443,443,TRUE,FRA,Europe,Frankfurt,292,4.87
34.116.204.164,443,443,TRUE,FRA,Europe,Frankfurt,357,4.85
34.118.122.67,443,443,TRUE,FRA,Europe,Frankfurt,307,4.85
34.65.81.135,443,443,TRUE,FRA,Europe,Frankfurt,199,4.84
34.118.111.176,443,443,TRUE,FRA,Europe,Frankfurt,241,4.84
34.118.58.9,443,443,TRUE,FRA,Europe,Frankfurt,285,4.82
34.65.216.170,443,443,TRUE,FRA,Europe,Frankfurt,268,4.79
34.116.196.218,443,443,TRUE,FRA,Europe,Frankfurt,342,4.77
34.91.84.129,443,443,TRUE,FRA,Europe,Frankfurt,256,4.77
34.89.179.31,443,443,TRUE,FRA,Europe,Frankfurt,252,4.74
34.65.62.73,443,443,TRUE,FRA,Europe,Frankfurt,225,4.71
34.159.103.116,443,443,TRUE,FRA,Europe,Frankfurt,292,4.7
34.65.173.34,443,443,TRUE,FRA,Europe,Frankfurt,252,4.69
34.159.134.173,443,443,TRUE,FRA,Europe,Frankfurt,228,4.69
34.118.0.148,443,443,TRUE,FRA,Europe,Frankfurt,308,4.69
34.65.62.73,443,443,TRUE,FRA,Europe,Frankfurt,254,4.67
34.116.213.69,443,443,TRUE,FRA,Europe,Frankfurt,334,4.66
34.65.15.230,443,443,TRUE,FRA,Europe,Frankfurt,255,4.64
34.154.91.191,443,443,TRUE,FRA,Europe,Frankfurt,262,4.63
35.246.140.239,443,443,TRUE,FRA,Europe,Frankfurt,278,4.6
34.116.128.120,443,443,TRUE,FRA,Europe,Frankfurt,266,4.55
34.116.161.91,443,443,TRUE,FRA,Europe,Frankfurt,338,4.52
34.89.238.145,443,443,TRUE,FRA,Europe,Frankfurt,185,4.51
34.116.209.116,443,443,TRUE,FRA,Europe,Frankfurt,330,4.46
34.65.92.52,443,443,TRUE,FRA,Europe,Frankfurt,262,4.43
34.116.174.159,443,443,TRUE,FRA,Europe,Frankfurt,281,4.39
34.107.54.115,443,443,TRUE,FRA,Europe,Frankfurt,312,4.32
34.90.244.226,443,443,TRUE,FRA,Europe,Frankfurt,300,4.29
34.65.78.31,443,443,TRUE,FRA,Europe,Frankfurt,255,4.29
34.159.30.150,443,443,TRUE,FRA,Europe,Frankfurt,347,4.26
34.91.57.107,443,443,TRUE,FRA,Europe,Frankfurt,259,4.25
34.118.23.110,443,443,TRUE,FRA,Europe,Frankfurt,295,4.21
34.34.62.39,443,443,TRUE,FRA,Europe,Frankfurt,270,4.21
34.159.104.222,443,443,TRUE,FRA,Europe,Frankfurt,228,4.18
34.91.57.107,443,443,TRUE,FRA,Europe,Frankfurt,202,4.16
34.65.19.239,443,443,TRUE,FRA,Europe,Frankfurt,283,4.14
34.91.206.90,443,443,TRUE,FRA,Europe,Frankfurt,260,4.13
34.90.82.23,443,443,TRUE,FRA,Europe,Frankfurt,277,4.12
34.118.22.52,443,443,TRUE,FRA,Europe,Frankfurt,291,4.11
34.89.154.139,443,443,TRUE,FRA,Europe,Frankfurt,263,4.1
34.116.233.181,443,443,TRUE,FRA,Europe,Frankfurt,261,4.09
34.107.72.29,443,443,TRUE,FRA,Europe,Frankfurt,299,4.08
34.91.67.64,443,443,TRUE,FRA,Europe,Frankfurt,280,4.05
34.118.23.155,443,443,TRUE,FRA,Europe,Frankfurt,285,4.05
34.116.209.116,443,443,TRUE,FRA,Europe,Frankfurt,269,4.03
34.159.84.89,443,443,TRUE,FRA,Europe,Frankfurt,301,4.02
34.65.196.122,443,443,TRUE,FRA,Europe,Frankfurt,190,4.02
34.91.37.222,443,443,TRUE,FRA,Europe,Frankfurt,203,3.97
34.118.38.185,443,443,TRUE,FRA,Europe,Frankfurt,577,3.93
34.65.196.122,443,443,TRUE,FRA,Europe,Frankfurt,201,3.93
34.118.80.20,443,443,TRUE,FRA,Europe,Frankfurt,378,3.92
34.65.168.45,443,443,TRUE,FRA,Europe,Frankfurt,251,3.89
34.116.155.2,443,443,TRUE,FRA,Europe,Frankfurt,269,3.87
34.118.25.140,443,443,TRUE,FRA,Europe,Frankfurt,375,3.86
34.65.63.32,443,443,TRUE,FRA,Europe,Frankfurt,270,3.86
34.90.132.114,443,443,TRUE,FRA,Europe,Frankfurt,257,3.86
34.90.182.217,443,443,TRUE,FRA,Europe,Frankfurt,215,3.85
34.154.222.156,443,443,TRUE,FRA,Europe,Frankfurt,268,3.85
34.116.178.230,443,443,TRUE,FRA,Europe,Frankfurt,343,3.84
34.118.6.115,443,443,TRUE,FRA,Europe,Frankfurt,289,3.82
34.154.122.7,443,443,TRUE,FRA,Europe,Frankfurt,198,3.81
34.118.0.148,443,443,TRUE,FRA,Europe,Frankfurt,280,3.81
34.90.71.109,443,443,TRUE,FRA,Europe,Frankfurt,257,3.8
34.116.132.221,443,443,TRUE,FRA,Europe,Frankfurt,311,3.79
34.118.25.140,443,443,TRUE,FRA,Europe,Frankfurt,216,3.79
34.118.67.168,443,443,TRUE,FRA,Europe,Frankfurt,228,3.77
34.154.109.243,443,443,TRUE,FRA,Europe,Frankfurt,184,3.77
34.116.246.225,443,443,TRUE,FRA,Europe,Frankfurt,305,3.76
34.154.223.58,443,443,TRUE,FRA,Europe,Frankfurt,304,3.73
34.147.231.33,443,443,TRUE,LHR,Europe,London,229,3.66
34.154.240.106,443,443,TRUE,FRA,Europe,Frankfurt,263,3.62
34.118.90.144,443,443,TRUE,FRA,Europe,Frankfurt,296,3.62
34.154.141.75,443,443,TRUE,FRA,Europe,Frankfurt,271,3.61
34.116.181.34,443,443,TRUE,FRA,Europe,Frankfurt,267,3.57
34.118.44.17,443,443,TRUE,FRA,Europe,Frankfurt,230,3.57
34.118.17.244,443,443,TRUE,FRA,Europe,Frankfurt,264,3.56
34.90.106.152,443,443,TRUE,FRA,Europe,Frankfurt,258,3.56
34.65.196.122,443,443,TRUE,FRA,Europe,Frankfurt,259,3.5
34.118.100.32,443,443,TRUE,FRA,Europe,Frankfurt,283,3.49
34.116.213.69,443,443,TRUE,FRA,Europe,Frankfurt,359,3.49
34.118.127.239,443,443,TRUE,FRA,Europe,Frankfurt,306,3.47
34.118.100.32,443,443,TRUE,FRA,Europe,Frankfurt,327,3.43
34.154.173.122,443,443,TRUE,FRA,Europe,Frankfurt,261,3.41
34.116.128.120,443,443,TRUE,FRA,Europe,Frankfurt,339,3.41
34.89.156.120,443,443,TRUE,FRA,Europe,Frankfurt,274,3.38
34.118.17.200,443,443,TRUE,FRA,Europe,Frankfurt,262,3.35
34.116.246.103,443,443,TRUE,FRA,Europe,Frankfurt,271,3.34
34.118.5.126,443,443,TRUE,FRA,Europe,Frankfurt,242,3.34
34.116.193.101,443,443,TRUE,FRA,Europe,Frankfurt,329,3.33
34.118.64.206,443,443,TRUE,FRA,Europe,Frankfurt,350,3.31
34.118.90.82,443,443,TRUE,FRA,Europe,Frankfurt,293,3.29
34.147.91.171,443,443,TRUE,FRA,Europe,Frankfurt,245,3.25
34.116.174.159,443,443,TRUE,FRA,Europe,Frankfurt,202,3.22
34.154.117.59,443,443,TRUE,FRA,Europe,Frankfurt,205,3.2
34.116.195.145,443,443,TRUE,FRA,Europe,Frankfurt,270,3.17
34.154.84.78,443,443,TRUE,FRA,Europe,Frankfurt,281,3.15
34.105.233.161,443,443,TRUE,LHR,Europe,London,216,3.07
34.118.60.206,443,443,TRUE,FRA,Europe,Frankfurt,234,3
34.147.114.136,443,443,TRUE,FRA,Europe,Frankfurt,262,2.98
34.163.89.60,2053,443,TRUE,CDG,Europe,Paris,275,2.87
34.163.89.60,8443,443,TRUE,CDG,Europe,Paris,306,2.86
34.118.68.230,443,443,TRUE,FRA,Europe,Frankfurt,300,2.8
35.246.157.138,443,443,TRUE,FRA,Europe,Frankfurt,222,2.77
34.118.17.165,443,443,TRUE,FRA,Europe,Frankfurt,297,2.69
34.118.117.246,443,443,TRUE,FRA,Europe,Frankfurt,272,2.56
34.154.116.52,443,443,TRUE,FRA,Europe,Frankfurt,187,2.47
34.34.7.124,443,443,TRUE,FRA,Europe,Frankfurt,267,2.43
